12/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Name,DOB,Age,2021 Exp,COLLEGE,COUNTRY,NBA D YR,NBA D R,NBA D P,NBN D YR,NBN D R,NBN D P,Bio URL,2k Overall,Height,Weight,Primary Pos.,Secondary Pos.,2021 Awards,2022 Awards,2023 Awards,2024 Awards,2025 Awards,2026 Awards,2027 Awards,2028 Awards,2029 Awards,2030 Awards,2031 Awards,2021 Salary,2022 Salary,2023 Salary,2024 Salary,2025 Salary,2026 Salary,2027 Salary,2028 Salary,2029 Salary,2030 Salary,2031 Salary,2032 Salary,2033 Salary,2034 Salary,2035 Salary,2036 Salary,2037 Salary,2038 Salary,2039 Salary,2040 Salary,2020-21 Starts,2022 Starts,2023 Starts,2024 Starts,2025 Starts,2026 Starts,2027 Starts,2028 Starts,2029 Starts,2030 Starts,2031 Starts,Combo Pos.,Team,Img URL,21-22 Primary,21-22 Secondary,22-23 Primary,22-23 Secondary,22-23 OVR
"Aminu, Al-Farouq","AMINU, AL-FAROUQ",9/21/1990,33,12,Wake Forest,USA,2010,Round 1,Pick 8,,,,https://docs.google.com/spreadsheets/d/1zmuJxgRfgaxmj5nSD4-_bT_8ovlbgYozZ4a7C6cDNf8/edit?usp=sharing,71,"6'8""",220 lbs,PF,,,,,,,,,,,,,"$9,720,900","$10,183,800",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,PF,FA,https://www.basketball-reference.com/req/202106291/images/players/aminual01.jpg,PF,,,,
"Hachimura, Rui","HACHIMURA, RUI",2/8/1998,25,3,Gonzaga,Japan,2019,Round 1,Pick 9,,,,https://docs.google.com/spreadsheets/d/1HcW5Yj907aSeOtJ-HtEowzpxwXKmepIanwhQHbfnubw/edit?usp=sharing,78,"6'8""",230 lbs,PF,SF,,,,,,,,,,,,"$4,692,840","$4,916,160",,,,,,,,,,,,,,,,,,,56,0,1,,,,,,,,,PF/SF,PHX,https://www.basketball-reference.com/req/202106291/images/players/hachiru01.jpg,PF,SF,,,
"Antetokounmpo, Giannis","ANTETOKOUNMPO, GIANNIS",12/6/1994,29,9,None,Greece,2013,Round 1,Pick 15,,,,https://docs.google.com/spreadsheets/d/1bVL_A_qNrF4DPCcw2xZsyupFxW3whiJkiZdtYLXbQPo/edit?usp=sharing,97,"6'11""",242 lbs,PF,C,"NBN Defensive Player of the Year, All-NBN First Team, NBN All-Defensive First Team, NBN All-Star","All-NBN First Team, NBN All-Defensive First Team, NBN All-Star",,,,,,,,,,"$27,528,090","$39,344,900","$42,492,492","$45,640,084","$48,787,676",,,,,,,,,,,,,,,,70,71,81,,,,,,,,,PF/C,MIL,https://www.basketball-reference.com/req/202106291/images/players/antetgi01.jpg,PF,C,PF,C,97
"Antetokounmpo, Thanasis","ANTETOKOUNMPO, THANASIS",7/18/1992,31,4,None,Greece,2014,Round 2,Pick 51,,,,https://docs.google.com/spreadsheets/d/1GSvhx1D_JNUYh_Yk1GQokM0ZgwuW2sZ-i4GQjy7Llw8/edit?usp=sharing,72,"6'6""",219 lbs,PF,SF,,,,,,,,,,,,"$1,701,593","$1,729,217",,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,PF/SF,MIL,https://www.basketball-reference.com/req/202106291/images/players/antetth01.jpg,PF,SF,PF,SF,72
"Anthony, Carmelo","ANTHONY, CARMELO",5/29/1984,39,19,Syracuse,USA,2003,Round 1,Pick 3,,,,https://docs.google.com/spreadsheets/d/1Arz9yRUZXS3q1aEf98Qc4xeNItpZvd9ovxZHwKhj0Js/edit?usp=sharing,79,"6'7""",238 lbs,PF,SF,,,,,,,,,,,,"$6,000,000","$1,669,178",,,,,,,,,,,,,,,,,,,18,23,44,,,,,,,,,PF/SF,HOU,https://www.basketball-reference.com/req/202106291/images/players/anthoca01.jpg,PF,SF,,,
"ANTHONY, COLE","ANTHONY, COLE",5/15/2000,23,2,North Carolina,USA,2020,Round 1,Pick 15,2020,Round 1,Pick 12 (UTA),https://docs.google.com/spreadsheets/d/1yZh9lNPkOytZpUeSanBjPk1mrXo0L-Sek6sXpvtKT38/edit?usp=sharing,81,"6'2""",185 lbs,PG,SG,,NBN Sixth Man of the Year,,,,,,,,,,"$3,193,200","$3,353,000",,,,,,,,,,,,,,,,,,,9,27,,,,,,,,,,PG/SG,ATL,https://www.basketball-reference.com/req/202106291/images/players/anthoco01.jpg,PG,SG,,,
"Anunoby, OG","ANUNOBY, OG",7/17/1997,26,5,Indiana,United Kingdom,2017,Round 1,Pick 23,,,,https://docs.google.com/spreadsheets/d/1sS8wupCuvx3WP9-NDc1PwAZtkDIiyet78K-Ku_IudZw/edit?usp=sharing,82,"6'7""",232 lbs,SF,PF,,,,,,,,,,,,"$3,872,215","$22,000,000","$23,100,000","$24,200,000",,,,,,,,,,,,,,,,,43,81,71,,,,,,,,,SF/PF,SAC,https://www.basketball-reference.com/req/202106291/images/players/anunoog01.jpg,SF,PF,,,
"Arcidiacono, Ryan","ARCIDIACONO, RYAN",3/26/1994,29,5,Villanova,USA,2016,Undrafted,,,,,https://docs.google.com/spreadsheets/d/1ECQ5tnYRpueD7hOY1turzIKM4oXWObBG0kdFDcwnU6U/edit?usp=sharing,69,"6'3""",195 lbs,PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,PG,FA,https://www.basketball-reference.com/req/202106291/images/players/arcidry01.jpg,PG,,PG,,69
"Ariza, Trevor","ARIZA, TREVOR",6/30/1985,38,18,UCLA,USA,2004,Round 2,Pick 43,,,,https://docs.google.com/spreadsheets/d/1W-e35rdf91yA63w1QCwH9zXC4CtDb38fZnmwCz3K81s/edit?usp=sharing,73,"6'8""",215 lbs,PF,SF,,,,,,,,,,,,"$1,185,093","$2,641,691",,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,PF/SF,FA,https://www.basketball-reference.com/req/202106291/images/players/arizatr01.jpg,PF,SF,,,
"Augustin, DJ","AUGUSTIN, DJ",11/10/1987,36,14,Texas,USA,2008,Round 1,Pick 9,,,,https://docs.google.com/spreadsheets/d/19DJwxhwK4tb8Aqmtg9ryToDr8V3V8aMvM5G4TZG8bME/edit?usp=sharing,73,"5'11""",183 lbs,PG,,,,,,,,,,,,,"$2,564,753","$2,692,991",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,PG,FA,https://www.basketball-reference.com/req/202106291/images/players/augusdj01.jpg,PG,,,,
"AVDIJA, DENI","AVDIJA, DENI",1/3/2001,22,2,None,Israel,2020,Round 1,Pick 9,2020,Round 1,Pick 7 (CLE),https://docs.google.com/spreadsheets/d/1oSTbuCzUqi3C15ExgPNYYLL6JXw31qYgsZ9zoLegFKA/edit?usp=sharing,75,"6'9""",210 lbs,SF,PF,,,,,,,,,,,,"$4,422,600","$4,643,900",,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,SF/PF,UTA,https://www.basketball-reference.com/req/202106291/images/players/avdijde01.jpg,SF,PF,,,
"Ayayi, Joel","AYAYI, JOEL",3/5/2000,23,1,Gonzaga,France,2021,Undrafted,,2021,Round 2,Pick 35 (SAC),https://docs.google.com/spreadsheets/d/1wT3tNXT0igTBI8nQiiYO8aCJfj6R6zAM5hc22lS9VPg/edit?usp=sharing,68,"6'5""",180 lbs,SG,,,,,,,,,,,,,,"$503,887",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SG,FA,https://www.basketball-reference.com/req/202106291/images/players/ayayijo01.jpg,SG,,,,
"Ayton, Deandre","AYTON, DEANDRE",7/23/1998,25,4,Arizona,Bahamas,2018,Round 1,Pick 1,,,,https://docs.google.com/spreadsheets/d/17G-7IdTc1Ff5A64xINciew3pNFVRZa383zw2SOA3b64/edit?usp=sharing,87,"6'11""",250 lbs,C,,,,,,,,,,,,,"$10,018,200","$12,632,950","$29,750,000","$32,130,000","$34,510,000","$36,890,000",,,,,,,,,,,,,,,72,72,80,,,,,,,,,C,PHX,https://www.basketball-reference.com/req/202106291/images/players/aytonde01.jpg,C,,,,
"AZUBUIKE, UDOKA","AZUBUIKE, UDOKA",9/17/1999,24,2,Kansas,Nigeria,2020,Round 1,Pick 27,2020,Round 2,Pick 34 (MIL),https://docs.google.com/spreadsheets/d/1sti_Y7jePRWdPc3WHP2QLIWsiVumEGAq9PO4UEFMHHA/edit?usp=sharing,70,"6'10""",280 lbs,C,,,,,,,,,,,,,"$1,000,000","$1,500,000","$1,800,000",,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,C,MIL,https://www.basketball-reference.com/req/202106291/images/players/azubuud01.jpg,C,,,,
"Bacon, Dwayne","BACON, DWAYNE",8/30/1995,28,5,Florida State,USA,2017,Round 2,Pick 40,,,,https://docs.google.com/spreadsheets/d/1mPQuOQ0BkBGA0Y2gxtuiq_tpiLpH8qi2ZiEA2DvFhzQ/edit?usp=sharing,71,"6'6""",221 lbs,SF,SG,,,,,,,,,,,,"$856,794",,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,SF/SG,FA,https://www.basketball-reference.com/req/202106291/images/players/bacondw01.jpg,SG,SF,,,
"Bagley, Marvin","BAGLEY, MARVIN",3/14/1999,24,4,Duke,USA,2018,Round 1,Pick 2,,,,https://docs.google.com/spreadsheets/d/1hx8KQ6qOh-vbr8VFwdA4MN6Mz1SUrbcuJiX7N9KR-Hc/edit?usp=sharing,76,"6'11""",235 lbs,PF,C,,,,,,,,,,,,"$8,963,640","$11,312,114",,,,,,,,,,,,,,,,,,,47,50,43,,,,,,,,,PF/C,BOS,https://www.basketball-reference.com/req/202106291/images/players/baglema01.jpg,PF,C,PF,C,
"BALL, LAMELO","BALL, LAMELO",8/22/2001,22,2,None,USA,2020,Round 1,Pick 3,2020,Round 1,Pick 3 (SAS),https://docs.google.com/spreadsheets/d/1uW_OMcNZgfqwrgOGNBYx8nTux7ZroJ1h1XEBFKdQJn0/edit?usp=sharing,86,"6'6""",180 lbs,PG,SG,NBN Rookie of the Year,,,,,,,,,,,"$6,533,300","$6,859,800",,,,,,,,,,,,,,,,,,,82,57,71,,,,,,,,,PG/SG,SAS,https://www.basketball-reference.com/req/202106291/images/players/ballla01.jpg,PG,SG,PG,SG,
"Ball, Lonzo","BALL, LONZO",10/27/1997,26,5,UCLA,USA,2017,Round 1,Pick 2,,,,https://docs.google.com/spreadsheets/d/1BStGgnogqYpVcK3OPY0txG0OFV77fESXfElTOEjr604/edit?usp=sharing,82,"6'6""",190 lbs,PG,SG,,,,,,,,,,,,"$11,003,782","$23,155,000","$23,155,000","$23,155,000","$23,155,000",,,,,,,,,,,,,,,,66,80,64,,,,,,,,,PG/SG,BKN,https://www.basketball-reference.com/req/202106291/images/players/balllo01.jpg,PG,SG,PG,SG,
"Howard, Dwight","HOWARD, DWIGHT",12/8/1985,38,18,None,USA,2004,Round 1,Pick 1,,,,https://docs.google.com/spreadsheets/d/1VwZam8YYO1vzpoQSHWruIYhkkamgfbdZ0yBoME5RiY8/edit?usp=sharing,79,"6'10""",265 lbs,C,,,,,,,,,,,,,"$4,500,000","$4,500,000",,,,,,,,,,,,,,,,,,,39,32,1,,,,,,,,,C,MIL,https://www.basketball-reference.com/req/202106291/images/players/howardw01.jpg,C,,,,
"BANE, DESMOND","BANE, DESMOND",6/25/1998,25,2,TCU,USA,2020,Round 1,Pick 30,2020,Round 1,Pick 15 (ORL),https://docs.google.com/spreadsheets/d/1NJv5T4boPeV2qLjfsWNdduJiiLy9x7e6JlwYVoCu5Ps/edit?usp=sharing,83,"6'5""",215 lbs,SF,SG,,,,,,,,,,,,"$2,737,600","$2,874,500",,,,,,,,,,,,,,,,,,,0,58,82,,,,,,,,,SF/SG,ORL,https://www.basketball-reference.com/req/202106291/images/players/banede01.jpg,SF,SG,SF,SG,83
"Ingles, Joe","INGLES, JOE",10/2/1987,36,8,None,Australia,2009,Undrafted,,,,,https://docs.google.com/spreadsheets/d/11nqmo3fajPPiJADr_hkW_UP-M0w7ggsHiRq6dSfVz18/edit?usp=sharing,76,"6'8""",220 lbs,SF,SG,,,,,,,,,,,,"$10,863,637","$13,036,364",,,,,,,,,,,,,,,,,,,59,35,1,,,,,,,,,SF/SG,ORL,https://www.basketball-reference.com/req/202106291/images/players/inglejo01.jpg,SF,SG,SF,SG,76
"Barea, JJ","BAREA, JJ",6/26/1984,39,15,Northeastern,Puerto Rico,2006,Undrafted,,,,,https://docs.google.com/spreadsheets/d/1ZF6qXeQxbzSkIG2wdvcMsOAOJ_Y9jOLXJ6gaRsolRvU/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ret.,https://www.basketball-reference.com/req/202106291/images/players/bareajo01.jpg,PG,SG,,,
"Barnes, Harrison","BARNES, HARRISON",5/30/1992,31,10,North Carolina,USA,2012,Round 1,Pick 7,,,,https://docs.google.com/spreadsheets/d/1_-JVaRdcAcWzhtxVwNvAq8aQWcpvY4rnulkkBFgjIo8/edit?usp=sharing,79,"6'8""",225 lbs,SF,PF,,,,,,,,,,,,"$22,215,909","$20,284,091","$18,352,273",,,,,,,,,,,,,,,,,,46,82,76,,,,,,,,,SF/PF,MIA,https://www.basketball-reference.com/req/202106291/images/players/barneha02.jpg,SF,PF,,,
"Barnes, Scottie","BARNES, SCOTTIE",8/1/2001,22,1,Florida State,USA,2021,Round 1,Pick 4,2021,Round 1,Pick 5 (GSW),https://docs.google.com/spreadsheets/d/1buvbTtSB6_ZfQNH-3GOVuUp1aoTckW57Dvw_ULQDExM/edit?usp=sharing,76,"6'7""",225 lbs,PF,SF,,"NBN Rookie of the Year, NBN All-Rookie First Team",,,,,,,,,,,"$5,494,100","$5,768,600",,,,,,,,,,,,,,,,,,,80,67,,,,,,,,,PF/SF,GSW,https://www.basketball-reference.com/req/202106291/images/players/barnesc01.jpg,PF,SF,,,
"Barrett, RJ","BARRETT, RJ",6/14/2000,23,3,Duke,Canada,2019,Round 1,Pick 3,,,,https://docs.google.com/spreadsheets/d/1ryTkLmrnLsloUa8m8piHdkh2I3ijuNSded7jR2RLQhM/edit?usp=sharing,83,"6'6""",214 lbs,SF,SG,,,,,,,,,,,,"$8,231,760","$8,623,920",,,,,,,,,,,,,,,,,,,79,73,82,,,,,,,,,SF/SG,ATL,https://www.basketball-reference.com/req/202106291/images/players/barrerj01.jpg,SF,SG,SF,SG,84
"Barton, Will","BARTON, WILL",1/6/1991,32,10,Memphis,USA,2012,Round 2,Pick 40,,,,https://docs.google.com/spreadsheets/d/151LH7b8rX272AJXd653LKPXwbk63yxwDXdlagy0ASHY/edit?usp=sharing,78,"6'6""",181 lbs,SG,SF,,,,,,,,,,,,"$13,723,214","$20,500,000",,,,,,,,,,,,,,,,,,,67,28,,,,,,,,,,SG/SF,MIA,https://www.basketball-reference.com/req/202106291/images/players/bartowi01.jpg,SG,SF,,,
"Jones, Kai","JONES, KAI",1/18/2001,22,1,Texas,Bahamas,2021,Round 1,Pick 19,2021,Round 1,Pick 24 (NOP),https://docs.google.com/spreadsheets/d/1qlvGFOQmkQdJvD6YU4_Y3QPqIBqaqF46qaMwfShBVek/edit?usp=sharing,72,"6'10""",221 lbs,C,,,,,,,,,,,,,,"$1,882,700","$1,976,800",,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,C,SAS,https://www.basketball-reference.com/req/202106291/images/players/joneska01.jpg,C,,C,,
"Bates-Diop, Keita","BATES-DIOP, KEITA",1/23/1996,27,4,Ohio State,USA,2018,Round 2,Pick 48,,,,https://docs.google.com/spreadsheets/d/1fWzgc4-HRHUIMvR3GSEIxWYW-tRe0oFIHN9nvKzgwsY/edit?usp=sharing,76,"6'8""",229 lbs,SF,PF,,,,,,,,,,,,"$1,663,861","$815,166",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,SF/PF,IND,https://www.basketball-reference.com/req/202106291/images/players/bateske01.jpg,SF,PF,,,
"Landale, Jock","LANDALE, JOCK",10/25/1995,28,1,Saint Mary's,Australia,2018,Undrafted,,,,,https://docs.google.com/spreadsheets/d/1SHWBuoLvf_rsxUbxXlLIuK8qNOtNKu71Q_F79OtPHkc/edit?usp=sharing,68,"6'11""",256 lbs,C,PF,,,,,,,,,,,,,"$925,258",,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,C/PF,PHX,https://www.basketball-reference.com/req/202106291/images/players/landajo01.jpg,C,PF,,,
"Baynes, Aron","BAYNES, ARON",12/9/1986,36,9,Washington State,Australia,2009,Undrafted,,,,,https://docs.google.com/spreadsheets/d/15icrj8bEQSkH0p7pG8RcuaWDv9cFPw9PAM15EFJp9xs/edit?usp=sharing,74,"6'10""",260 lbs,C,,,,,,,,,,,,,"$9,000,000","$9,000,000",,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,C,CLE,https://www.basketball-reference.com/req/202106291/images/players/baynear01.jpg,C,,,,
"Lee, Saben","LEE, SABEN",6/23/1999,24,2,Vanderbilt,USA,2020,Round 2,Pick 38,2020,Undrafted,,https://docs.google.com/spreadsheets/d/1_fO-QBgPE2rjiM65SGSgITk5wE_EAORu4jmGDuKNx0M/edit?usp=sharing,74,"6'2""",183 lbs,PG,,,,,,,,,,,,,"$508,010","$1,517,981",,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,PG,HOU,https://www.basketball-reference.com/req/202106291/images/players/leesa01.jpg,PG,,,,
"Bazley, Darius","BAZLEY, DARIUS",6/12/2000,23,3,None,USA,2019,Round 1,Pick 23,,,,https://docs.google.com/spreadsheets/d/19WfGuWJ-liyrQc6zGSi4_L_J-9XdI-BKBysOOPnLvkw/edit?usp=sharing,72,"6'8""",208 lbs,PF,,,,,,,,,,,,,"$2,399,160","$2,513,040",,,,,,,,,,,,,,,,,,,33,5,,,,,,,,,,PF,OKC,https://www.basketball-reference.com/req/202106291/images/players/bazleda01.jpg,PF,,PF,,76
"Beal, Bradley","BEAL, BRADLEY",6/28/1993,30,10,Florida,USA,2012,Round 1,Pick 3,,,,https://docs.google.com/spreadsheets/d/1HHMX6_skoojF7wXrEaj_bhM0G9-4CJh-SvhIGSyHdyI/edit?usp=sharing,89,"6'3""",207 lbs,SG,PG,NBN All-Star,"All-NBN Second Team, NBN All-Star",,,,,,,,,,"$28,751,775","$34,502,130",,,,,,,,,,,,,,,,,,,82,82,82,,,,,,,,,SG/PG,WAS,https://www.basketball-reference.com/req/202106291/images/players/bealbr01.jpg,SG,PG,,,
"Livers, Isaiah","LIVERS, ISAIAH",7/28/1998,25,1,Michigan,USA,2021,Round 2,Pick 42,2021,Round 2,Pick 47 (LAL),https://docs.google.com/spreadsheets/d/1wMc9Ld_zxZ-VLzymwnVWS-tSltiQUGDyD1_8lu_rDNI/edit?usp=sharing,69,"6'6""",232 lbs,SG,PG,,,,,,,,,,,,,"$950,000","$1,600,000",,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,SG/PG,BOS,https://www.basketball-reference.com/req/202106291/images/players/liveris01.jpg,SG,PF,SG,PF,
"Begarin, Juhann","BEGARIN, JUHANN",8/7/2002,21,1,None,France,2021,Round 2,Pick 45,2021,Round 2,Pick 58 (MIL),https://docs.google.com/spreadsheets/d/1jB_r6li6HlgORuQmCcXS8rWNUzm3Q1LBW2pGtpUnwjI/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
"Bell, Jordan","BELL, JORDAN",1/7/1995,28,4,Oregon,USA,2017,Round 2,Pick 38,,,,https://docs.google.com/spreadsheets/d/1gMqJbuguTU4_4HBYUqq44psMIpHHUp_YhnGmSoXQQaE/edit?usp=sharing,71,"6'8""",224 lbs,PF,C,,,,,,,,,,,,"$1,762,796",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,PF/C,FA,https://www.basketball-reference.com/req/202106291/images/players/belljo01.jpg,PF,C,,,
"Bembry, Deandre","BEMBRY, DEANDRE",7/4/1994,29,6,None,USA,2016,Round 1,Pick 21,,,,https://docs.google.com/spreadsheets/d/1zpPd0GuBGdOAwtALMb0OM-YAXRCjjG_IcoYvLbFzScA/edit?usp=sharing,76,"6'5""",210 lbs,SG,PG,,,,,,,,,,,,"$1,517,981","$1,939,350",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,SG/PG,FA,https://www.basketball-reference.com/req/202106291/images/players/bembrde01.jpg,SG,PF,,,
"Bertans, Davis","BERTANS, DAVIS",11/12/1992,31,6,None,Latvia,2011,Round 2,Pick 42,,,,https://docs.google.com/spreadsheets/d/1GwQaFMxUJOn5ehjsLovteSAYLvI_2btkrMAZt4hieOk/edit?usp=sharing,76,"6'10""",225 lbs,PF,,,,,,,,,,,,,"$15,740,741","$17,000,000","$18,259,259",,,,,,,,,,,,,,,,,,13,82,,,,,,,,,,PF,CHA,https://www.basketball-reference.com/req/202106291/images/players/bertada01.jpg,PF,,PF,,
